provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
scalar_onlstm,focal,1.1,152,True,147,147,3.7818805450223936,3.739068502986363,1.0114499218192545,0,C_hard_spiral,2
field_unet,astar,,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
field_unet,focal,1.0,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
field_unet,focal,1.1,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
field_unet,astar,,152,True,148,148,3.745187809114145,3.739068502986363,1.0016365857225924,0,C_hard_spiral,2
field_unet,focal,1.0,152,True,147,147,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
field_unet,focal,1.1,152,True,147,147,3.806452308109654,3.739068502986363,1.0180215487010928,0,C_hard_spiral,2
field_onlstm,astar,,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
field_onlstm,focal,1.0,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
field_onlstm,focal,1.1,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
field_onlstm,astar,,152,True,147,147,3.781647219599232,3.739068502986363,1.011387519800416,0,C_hard_spiral,2
field_onlstm,focal,1.0,152,True,147,147,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
field_onlstm,focal,1.1,152,True,147,147,3.7444411368800092,3.739068502986363,1.001436891003563,0,C_hard_spiral,2
field_hrm,astar,,140,True,133,133,3.797432103495918,3.739068502986363,1.0156091284401292,0,C_hard_spiral,2
field_hrm,focal,1.0,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
field_hrm,focal,1.1,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
field_hrm,astar,,152,True,133,133,3.797432103495918,3.739068502986363,1.0156091284401292,0,C_hard_spiral,2
field_hrm,focal,1.0,152,True,147,147,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
field_hrm,focal,1.1,152,True,147,147,3.780512041711797,3.739068502986363,1.0110839206856823,0,C_hard_spiral,2
euclid,astar,,140,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
euclid,focal,1.0,140,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
euclid,focal,1.1,140,True,115,115,3.404129093760887,3.362338400094332,1.0124290564166243,0,C_hard_spiral,3
euclid,astar,,152,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
euclid,focal,1.0,152,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
euclid,focal,1.1,152,True,115,115,3.404129093760887,3.362338400094332,1.0124290564166243,0,C_hard_spiral,3
oracle,astar,,140,True,36,36,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
oracle,focal,1.0,140,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
oracle,focal,1.1,140,True,115,115,3.4018022034848525,3.362338400094332,1.011737011179307,0,C_hard_spiral,3
oracle,astar,,152,True,36,36,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
oracle,focal,1.0,152,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
oracle,focal,1.1,152,True,115,115,3.4018022034848525,3.362338400094332,1.011737011179307,0,C_hard_spiral,3
scalar_hrm,astar,,140,True,123,123,3.522111592789432,3.362338400094332,1.0475184748479265,0,C_hard_spiral,3
scalar_hrm,focal,1.0,140,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
scalar_hrm,focal,1.1,140,True,122,122,3.415089058711475,3.362338400094332,1.015688682202738,0,C_hard_spiral,3
scalar_hrm,astar,,152,True,123,123,3.522111592789432,3.362338400094332,1.0475184748479265,0,C_hard_spiral,3
scalar_hrm,focal,1.0,152,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
scalar_hrm,focal,1.1,152,True,122,122,3.415089058711475,3.362338400094332,1.015688682202738,0,C_hard_spiral,3
scalar_onlstm,astar,,140,True,121,121,3.5412773735082643,3.362338400094332,1.0532186092300857,0,C_hard_spiral,3
scalar_onlstm,focal,1.0,140,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
scalar_onlstm,focal,1.1,140,True,122,122,3.5356894294844814,3.362338400094332,1.0515566872701707,0,C_hard_spiral,3
scalar_onlstm,astar,,152,True,121,121,3.5412773735082643,3.362338400094332,1.0532186092300857,0,C_hard_spiral,3
scalar_onlstm,focal,1.0,152,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
scalar_onlstm,focal,1.1,152,True,122,122,3.5356894294844814,3.362338400094332,1.0515566872701707,0,C_hard_spiral,3
field_unet,astar,,140,True,120,120,3.4447246457556413,3.362338400094332,1.0245026632830883,0,C_hard_spiral,3
field_unet,focal,1.0,140,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
field_unet,focal,1.1,140,True,121,121,3.545340682639801,3.362338400094332,1.054427086381411,0,C_hard_spiral,3
field_unet,astar,,152,True,120,120,3.4447246457556413,3.362338400094332,1.0245026632830883,0,C_hard_spiral,3
field_unet,focal,1.0,152,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
field_unet,focal,1.1,152,True,121,121,3.545340682639801,3.362338400094332,1.054427086381411,0,C_hard_spiral,3
field_onlstm,astar,,140,True,121,121,3.4088661940436196,3.362338400094332,1.0138379271842424,0,C_hard_spiral,3
field_onlstm,focal,1.0,140,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
field_onlstm,focal,1.1,140,True,125,125,3.537665095002544,3.362338400094332,1.0521442740276508,0,C_hard_spiral,3
field_onlstm,astar,,152,True,121,121,3.4088661940436196,3.362338400094332,1.0138379271842424,0,C_hard_spiral,3
field_onlstm,focal,1.0,152,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
field_onlstm,focal,1.1,152,True,125,125,3.537665095002544,3.362338400094332,1.0521442740276508,0,C_hard_spiral,3
field_hrm,astar,,140,True,113,113,3.4300647898616337,3.362338400094332,1.0201426452987008,0,C_hard_spiral,3
field_hrm,focal,1.0,140,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
field_hrm,focal,1.1,140,True,121,121,3.446817169933884,3.362338400094332,1.0251250052157694,0,C_hard_spiral,3
field_hrm,astar,,152,True,113,113,3.4300647898616337,3.362338400094332,1.0201426452987008,0,C_hard_spiral,3
field_hrm,focal,1.0,152,True,126,126,3.362338400094332,3.362338400094332,1.0,0,C_hard_spiral,3
field_hrm,focal,1.1,152,True,121,121,3.446817169933884,3.362338400094332,1.0251250052157694,0,C_hard_spiral,3
euclid,astar,,140,False,140,140,nan,3.2546994163415297,nan,0,C_hard_spiral,4
euclid,focal,1.0,140,False,140,140,nan,3.2546994163415297,nan,0,C_hard_spiral,4
euclid,focal,1.1,140,False,140,140,nan,3.2546994163415297,nan,0,C_hard_spiral,4
euclid,astar,,152,True,152,152,3.25469941634153,3.2546994163415297,1.0000000000000002,0,C_hard_spiral,4
