config,config_idx,K,world_idx,seed,arm,budget,found,cost,expansions,closed,opt_cost
C_hard_maze,0,2,7,31115502,h_oracle,800,True,3.381872817833824,41,41,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_next,1600,True,3.381872817833824,392,392,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_legsum,1600,True,3.381872817833824,342,342,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_oracle,1600,True,3.381872817833824,41,41,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_next,3200,True,3.381872817833824,392,392,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_legsum,3200,True,3.381872817833824,342,342,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_oracle,3200,True,3.381872817833824,41,41,3.3818728178338247
C_hard_maze,0,2,8,31131340,h_next,100,False,nan,100,100,4.063779377014337
C_hard_maze,0,2,8,31131340,h_legsum,100,False,nan,100,100,4.063779377014337
C_hard_maze,0,2,8,31131340,h_oracle,100,True,4.06377937701434,45,45,4.063779377014337
C_hard_maze,0,2,8,31131340,h_next,200,False,nan,200,200,4.063779377014337
C_hard_maze,0,2,8,31131340,h_legsum,200,False,nan,200,200,4.063779377014337
C_hard_maze,0,2,8,31131340,h_oracle,200,True,4.06377937701434,45,45,4.063779377014337
C_hard_maze,0,2,8,31131340,h_next,400,False,nan,400,400,4.063779377014337
C_hard_maze,0,2,8,31131340,h_legsum,400,False,nan,400,400,4.063779377014337
C_hard_maze,0,2,8,31131340,h_oracle,400,True,4.06377937701434,45,45,4.063779377014337
C_hard_maze,0,2,8,31131340,h_next,800,True,4.06377937701434,476,476,4.063779377014337
C_hard_maze,0,2,8,31131340,h_legsum,800,True,4.06377937701434,407,407,4.063779377014337
C_hard_maze,0,2,8,31131340,h_oracle,800,True,4.06377937701434,45,45,4.063779377014337
C_hard_maze,0,2,8,31131340,h_next,1600,True,4.06377937701434,476,476,4.063779377014337
C_hard_maze,0,2,8,31131340,h_legsum,1600,True,4.06377937701434,407,407,4.063779377014337
C_hard_maze,0,2,8,31131340,h_oracle,1600,True,4.06377937701434,45,45,4.063779377014337
C_hard_maze,0,2,8,31131340,h_next,3200,True,4.06377937701434,476,476,4.063779377014337
C_hard_maze,0,2,8,31131340,h_legsum,3200,True,4.06377937701434,407,407,4.063779377014337
C_hard_maze,0,2,8,31131340,h_oracle,3200,True,4.06377937701434,45,45,4.063779377014337
C_hard_maze,0,2,9,31155097,h_next,100,False,nan,100,100,3.319855104100374
C_hard_maze,0,2,9,31155097,h_legsum,100,False,nan,100,100,3.319855104100374
C_hard_maze,0,2,9,31155097,h_oracle,100,True,3.3198551041003728,36,36,3.319855104100374
C_hard_maze,0,2,9,31155097,h_next,200,False,nan,200,200,3.319855104100374
C_hard_maze,0,2,9,31155097,h_legsum,200,False,nan,200,200,3.319855104100374
C_hard_maze,0,2,9,31155097,h_oracle,200,True,3.3198551041003728,36,36,3.319855104100374
C_hard_maze,0,2,9,31155097,h_next,400,False,nan,400,400,3.319855104100374
C_hard_maze,0,2,9,31155097,h_legsum,400,True,3.3198551041003728,347,347,3.319855104100374
C_hard_maze,0,2,9,31155097,h_oracle,400,True,3.3198551041003728,36,36,3.319855104100374
C_hard_maze,0,2,9,31155097,h_next,800,True,3.3198551041003728,503,503,3.319855104100374
C_hard_maze,0,2,9,31155097,h_legsum,800,True,3.3198551041003728,347,347,3.319855104100374
C_hard_maze,0,2,9,31155097,h_oracle,800,True,3.3198551041003728,36,36,3.319855104100374
C_hard_maze,0,2,9,31155097,h_next,1600,True,3.3198551041003728,503,503,3.319855104100374
C_hard_maze,0,2,9,31155097,h_legsum,1600,True,3.3198551041003728,347,347,3.319855104100374
C_hard_maze,0,2,9,31155097,h_oracle,1600,True,3.3198551041003728,36,36,3.319855104100374
C_hard_maze,0,2,9,31155097,h_next,3200,True,3.3198551041003728,503,503,3.319855104100374
C_hard_maze,0,2,9,31155097,h_legsum,3200,True,3.3198551041003728,347,347,3.319855104100374
C_hard_maze,0,2,9,31155097,h_oracle,3200,True,3.3198551041003728,36,36,3.319855104100374
C_hard_maze,0,2,10,31163016,h_next,100,False,nan,100,100,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_legsum,100,False,nan,100,100,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_oracle,100,True,2.9995761035613433,33,33,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_next,200,False,nan,200,200,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_legsum,200,False,nan,200,200,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_oracle,200,True,2.9995761035613433,33,33,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_next,400,False,nan,400,400,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_legsum,400,True,2.9995761035613433,327,327,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_oracle,400,True,2.9995761035613433,33,33,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_next,800,True,2.9995761035613433,437,437,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_legsum,800,True,2.9995761035613433,327,327,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_oracle,800,True,2.9995761035613433,33,33,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_next,1600,True,2.9995761035613433,437,437,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_legsum,1600,True,2.9995761035613433,327,327,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_oracle,1600,True,2.9995761035613433,33,33,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_next,3200,True,2.9995761035613433,437,437,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_legsum,3200,True,2.9995761035613433,327,327,2.9995761035613424
C_hard_maze,0,2,10,31163016,h_oracle,3200,True,2.9995761035613433,33,33,2.9995761035613424
C_hard_maze,0,2,11,31186773,h_next,100,False,nan,100,100,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_legsum,100,False,nan,100,100,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_oracle,100,True,2.4908810090206153,29,29,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_next,200,False,nan,200,200,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_legsum,200,False,nan,200,200,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_oracle,200,True,2.4908810090206153,29,29,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_next,400,False,nan,400,400,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_legsum,400,True,2.4908810090206153,337,337,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_oracle,400,True,2.4908810090206153,29,29,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_next,800,True,2.4908810090206153,466,466,2.4908810090206153
C_hard_maze,0,2,11,31186773,h_legsum,800,True,2.4908810090206153,337,337,2.4908810090206153
