target,backbone,awareness,arm,K,binding_budget,n_matched,exp_ratio_median,ci_lo,ci_hi,success
C_dyn_rooms_large,scalar_onlstm,blind,lora,4,600,36,0.2259898758754594,0.17950461469571202,0.2703639514731369,0.9833333333333333
C_dyn_rooms_large,scalar_onlstm,blind,lora,16,600,36,0.1670670670670671,0.1385175512892904,0.19720257394707819,1.0
C_dyn_rooms_large,scalar_onlstm,blind,full_ft,1,600,35,0.4066193853427896,0.2246376811594203,0.541371158392435,0.8833333333333333
C_dyn_rooms_large,scalar_onlstm,blind,full_ft,4,600,36,0.1816816816816817,0.14745606850870008,0.2270363951473137,0.9833333333333333
C_dyn_rooms_large,scalar_onlstm,blind,full_ft,16,600,36,0.210938304665774,0.1650646502620187,0.2569136350192251,1.0
C_dyn_rooms_large,scalar_onlstm,blind,scratch,1,600,22,0.18911866857072335,0.17221135029354206,0.29982668977469673,0.5
C_dyn_rooms_large,scalar_onlstm,blind,scratch,4,600,36,0.11961340993599058,0.08928624261918146,0.2045060658578856,0.9666666666666667
C_dyn_rooms_large,scalar_onlstm,blind,scratch,16,600,36,0.1562534456702923,0.12406218718718719,0.2,1.0
C_dyn_rooms_large,field_unet,aware,zero_shot,0,600,10,0.41846516678543555,0.0648854961832061,1.195838695838696,0.75
C_dyn_rooms_large,field_unet,aware,lora,1,600,36,0.19569471624266144,0.1079913606911447,0.3870967741935484,0.9666666666666667
C_dyn_rooms_large,field_unet,aware,lora,4,600,36,0.11252834467120182,0.08747044917257683,0.1341991341991342,1.0
C_dyn_rooms_large,field_unet,aware,lora,16,600,36,0.16558441558441558,0.11961722488038277,0.1950674078333653,1.0
C_dyn_rooms_large,field_unet,aware,full_ft,1,600,36,0.2765957446808511,0.196054585903398,0.34600400443865487,0.9833333333333333
C_dyn_rooms_large,field_unet,aware,full_ft,4,600,36,0.12424195703566657,0.10037871493677386,0.16891891891891891,1.0
C_dyn_rooms_large,field_unet,aware,full_ft,16,600,36,0.1293576066002049,0.1076555023923445,0.14254859611231102,1.0
C_dyn_rooms_large,field_unet,aware,scratch,1,600,23,0.23444976076555024,0.16860606995596197,0.38961038961038963,0.5333333333333333
C_dyn_rooms_large,field_unet,aware,scratch,4,600,31,0.13043478260869565,0.10421836228287841,0.17494600431965443,0.8833333333333333
C_dyn_rooms_large,field_unet,aware,scratch,16,600,36,0.13377531092609724,0.10167976107861604,0.18754819931505146,1.0
C_dyn_rooms_large,field_unet,blind,zero_shot,0,600,12,0.2702696285039239,0.20893137059673522,0.40531960980564974,1.0
C_dyn_rooms_large,field_unet,blind,lora,1,600,36,0.27432841131471264,0.23376623376623376,0.3262411347517731,1.0
C_dyn_rooms_large,field_unet,blind,lora,4,600,36,0.15961759941572484,0.13740458015267176,0.2392204038044735,1.0
C_dyn_rooms_large,field_unet,blind,lora,16,600,36,0.15505496913692976,0.0967741935483871,0.21428571428571427,1.0
C_dyn_rooms_large,field_unet,blind,full_ft,1,600,36,0.27048538407003775,0.2028985507246377,0.320389131584847,0.95
C_dyn_rooms_large,field_unet,blind,full_ft,4,600,36,0.19351986686082795,0.1450381679389313,0.229217801985659,0.9833333333333333
C_dyn_rooms_large,field_unet,blind,full_ft,16,600,36,0.13624338624338622,0.10846038019951063,0.24190064794816415,0.9833333333333333
C_dyn_rooms_large,field_unet,blind,scratch,1,600,21,0.21851851851851853,0.18840579710144928,0.34988179669030733,0.48333333333333334
C_dyn_rooms_large,field_unet,blind,scratch,4,600,34,0.14605684170901562,0.11004784688995216,0.19930675909878684,0.9333333333333333
C_dyn_rooms_large,field_unet,blind,scratch,16,600,36,0.1445358401880141,0.10347476950530386,0.20512098162581777,0.9833333333333333
