provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
field_unet,focal,1.0,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_unet,focal,1.1,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_onlstm,astar,,140,True,116,116,2.516499480366212,2.46436691880004,1.0211545452783293,0,C_hard_maze_dense,2
field_onlstm,focal,1.0,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_onlstm,focal,1.1,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_onlstm,astar,,152,True,116,116,2.516499480366212,2.46436691880004,1.0211545452783293,0,C_hard_maze_dense,2
field_onlstm,focal,1.0,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_onlstm,focal,1.1,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_hrm,astar,,140,True,90,90,2.524551903288437,2.46436691880004,1.0244220874859424,0,C_hard_maze_dense,2
field_hrm,focal,1.0,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_hrm,focal,1.1,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_hrm,astar,,152,True,90,90,2.524551903288437,2.46436691880004,1.0244220874859424,0,C_hard_maze_dense,2
field_hrm,focal,1.0,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_hrm,focal,1.1,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
euclid,astar,,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
euclid,focal,1.0,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
euclid,focal,1.1,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
euclid,astar,,152,True,152,152,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
euclid,focal,1.0,152,True,152,152,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
euclid,focal,1.1,152,True,146,146,2.4521213051934256,2.3711047885589966,1.0341682565128913,0,C_hard_maze_dense,3
oracle,astar,,140,True,27,27,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
oracle,focal,1.0,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
oracle,focal,1.1,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
oracle,astar,,152,True,27,27,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
oracle,focal,1.0,152,True,152,152,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
oracle,focal,1.1,152,True,147,147,2.3960447263151754,2.3711047885589966,1.0105182773349024,0,C_hard_maze_dense,3
scalar_hrm,astar,,140,True,109,109,2.4149273240324387,2.3711047885589966,1.0184819058545593,0,C_hard_maze_dense,3
scalar_hrm,focal,1.0,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
scalar_hrm,focal,1.1,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
scalar_hrm,astar,,152,True,109,109,2.4149273240324387,2.3711047885589966,1.0184819058545593,0,C_hard_maze_dense,3
scalar_hrm,focal,1.0,152,True,152,152,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
scalar_hrm,focal,1.1,152,True,147,147,2.374952470060815,2.3711047885589966,1.0016227378563716,0,C_hard_maze_dense,3
scalar_onlstm,astar,,140,True,78,78,2.5281051393270477,2.3711047885589966,1.0662140077172488,0,C_hard_maze_dense,3
scalar_onlstm,focal,1.0,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
scalar_onlstm,focal,1.1,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
scalar_onlstm,astar,,152,True,78,78,2.5281051393270477,2.3711047885589966,1.0662140077172488,0,C_hard_maze_dense,3
scalar_onlstm,focal,1.0,152,True,152,152,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
scalar_onlstm,focal,1.1,152,True,148,148,2.4751026314740723,2.3711047885589966,1.0438605005636545,0,C_hard_maze_dense,3
field_unet,astar,,140,True,98,98,2.392333788989744,2.3711047885589966,1.008953210559559,0,C_hard_maze_dense,3
field_unet,focal,1.0,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
field_unet,focal,1.1,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
field_unet,astar,,152,True,98,98,2.392333788989744,2.3711047885589966,1.008953210559559,0,C_hard_maze_dense,3
field_unet,focal,1.0,152,True,152,152,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
field_unet,focal,1.1,152,True,147,147,2.392333788989744,2.3711047885589966,1.008953210559559,0,C_hard_maze_dense,3
field_onlstm,astar,,140,True,101,101,2.5748470889516066,2.3711047885589966,1.085927159936458,0,C_hard_maze_dense,3
field_onlstm,focal,1.0,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
field_onlstm,focal,1.1,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
field_onlstm,astar,,152,True,101,101,2.5748470889516066,2.3711047885589966,1.085927159936458,0,C_hard_maze_dense,3
field_onlstm,focal,1.0,152,True,152,152,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
field_onlstm,focal,1.1,152,True,146,146,2.4521213051934256,2.3711047885589966,1.0341682565128913,0,C_hard_maze_dense,3
field_hrm,astar,,140,True,105,105,2.4430625381866373,2.3711047885589966,1.030347772892556,0,C_hard_maze_dense,3
field_hrm,focal,1.0,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
field_hrm,focal,1.1,140,False,140,140,nan,2.3711047885589966,nan,0,C_hard_maze_dense,3
field_hrm,astar,,152,True,105,105,2.4430625381866373,2.3711047885589966,1.030347772892556,0,C_hard_maze_dense,3
field_hrm,focal,1.0,152,True,152,152,2.3711047885589975,2.3711047885589966,1.0000000000000004,0,C_hard_maze_dense,3
field_hrm,focal,1.1,152,True,150,150,2.444095160740935,2.3711047885589966,1.0307832755996824,0,C_hard_maze_dense,3
euclid,astar,,140,False,140,140,nan,2.3432888175187405,nan,0,C_hard_maze_dense,4
euclid,focal,1.0,140,False,140,140,nan,2.3432888175187405,nan,0,C_hard_maze_dense,4
euclid,focal,1.1,140,False,140,140,nan,2.3432888175187405,nan,0,C_hard_maze_dense,4
euclid,astar,,152,True,144,144,2.3432888175187405,2.3432888175187405,1.0,0,C_hard_maze_dense,4
euclid,focal,1.0,152,True,144,144,2.3432888175187405,2.3432888175187405,1.0,0,C_hard_maze_dense,4
euclid,focal,1.1,152,True,142,142,2.3805932712919056,2.3432888175187405,1.0159196994814603,0,C_hard_maze_dense,4
oracle,astar,,140,True,28,28,2.3432888175187405,2.3432888175187405,1.0,0,C_hard_maze_dense,4
oracle,focal,1.0,140,False,140,140,nan,2.3432888175187405,nan,0,C_hard_maze_dense,4
oracle,focal,1.1,140,False,140,140,nan,2.3432888175187405,nan,0,C_hard_maze_dense,4
oracle,astar,,152,True,28,28,2.3432888175187405,2.3432888175187405,1.0,0,C_hard_maze_dense,4
