target,backbone,method,K,n_matched,exp_ratio_median,ci_lo,ci_hi,success
C_hard_bugtrap,hrm,lora_bounded,4,45,0.7,0.6666666666666666,0.7333333333333333,0.8333333333333334
C_hard_bugtrap,hrm,lora_bounded,16,43,0.9047619047619048,0.8095238095238095,0.9523809523809523,0.5888888888888889
C_hard_bugtrap,hrm,lora_unbounded,1,45,0.6956521739130435,0.625,0.7,0.8333333333333334
C_hard_bugtrap,hrm,lora_unbounded,4,45,0.7,0.6666666666666666,0.7333333333333333,0.8333333333333334
C_hard_bugtrap,hrm,lora_unbounded,16,43,0.9130434782608695,0.8095238095238095,1.0625,0.6
C_hard_bugtrap,hrm,full_ft,1,18,1.0238095238095237,1.0,1.2875,0.2222222222222222
C_hard_bugtrap,hrm,full_ft,4,37,0.8181818181818182,0.7142857142857143,0.9545454545454546,0.5222222222222223
C_hard_bugtrap,hrm,full_ft,16,42,0.6978260869565217,0.6201923076923077,0.7530303030303029,0.7333333333333333
C_hard_bugtrap,hrm,scratch,1,48,1.0,1.0,1.0,0.5333333333333333
C_hard_bugtrap,hrm,scratch,4,36,1.0976190476190477,1.0625,1.19375,0.4111111111111111
C_hard_bugtrap,hrm,scratch,16,2,1.6033653846153846,1.4375,1.7692307692307692,0.022222222222222223
C_hard_bugtrap,onlstm,zero_shot,0,15,0.65,0.45454545454545453,0.6956521739130435,0.8
C_hard_bugtrap,onlstm,lora_bounded,1,45,0.65,0.5333333333333333,0.6818181818181818,0.8
C_hard_bugtrap,onlstm,lora_bounded,4,45,0.6818181818181818,0.5333333333333333,0.6956521739130435,0.7333333333333333
C_hard_bugtrap,onlstm,lora_bounded,16,43,0.7333333333333333,0.6521739130434783,0.7727272727272727,0.7222222222222222
C_hard_bugtrap,onlstm,lora_unbounded,1,45,0.65,0.5333333333333333,0.6818181818181818,0.8
C_hard_bugtrap,onlstm,lora_unbounded,4,45,0.6818181818181818,0.5333333333333333,0.6956521739130435,0.7444444444444445
C_hard_bugtrap,onlstm,lora_unbounded,16,43,0.7333333333333333,0.6666666666666666,0.7692307692307693,0.7222222222222222
C_hard_bugtrap,onlstm,full_ft,1,45,0.8571428571428571,0.75,0.9130434782608695,0.7333333333333333
C_hard_bugtrap,onlstm,full_ft,4,46,0.6594202898550725,0.6363636363636364,0.7619047619047619,0.7333333333333333
C_hard_bugtrap,onlstm,full_ft,16,46,0.6978260869565217,0.6326923076923077,0.75,0.8
C_hard_bugtrap,onlstm,scratch,1,48,1.0,1.0,1.0,0.5333333333333333
C_hard_bugtrap,onlstm,scratch,4,48,1.0,1.0,1.0,0.5333333333333333
